session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9924,Qualifying,Qualifying,2025-08-02T14:00:00+00:00,2025-08-02T15:00:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025
9928,Race,Race,2025-08-03T13:00:00+00:00,2025-08-03T15:00:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025
9913,Practice,Practice 1,2025-08-29T10:30:00+00:00,2025-08-29T11:30:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025
9914,Practice,Practice 2,2025-08-29T14:00:00+00:00,2025-08-29T15:00:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025
9915,Practice,Practice 3,2025-08-30T09:30:00+00:00,2025-08-30T10:30:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025
9916,Qualifying,Qualifying,2025-08-30T13:00:00+00:00,2025-08-30T14:00:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025
9920,Race,Race,2025-08-31T13:00:00+00:00,2025-08-31T15:00:00+00:00,1267,55,Zandvoort,133,NED,Netherlands,Zandvoort,02:00:00,2025,False,2025
9905,Practice,Practice 1,2025-09-05T11:30:00+00:00,2025-09-05T12:30:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025
9906,Practice,Practice 2,2025-09-05T15:00:00+00:00,2025-09-05T16:00:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025
9907,Practice,Practice 3,2025-09-06T10:30:00+00:00,2025-09-06T11:30:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025
9908,Qualifying,Qualifying,2025-09-06T14:00:00+00:00,2025-09-06T15:00:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025
9912,Race,Race,2025-09-07T13:00:00+00:00,2025-09-07T15:00:00+00:00,1268,39,Monza,13,ITA,Italy,Monza,02:00:00,2025,False,2025
9897,Practice,Practice 1,2025-09-19T08:30:00+00:00,2025-09-19T09:30:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025
9898,Practice,Practice 2,2025-09-19T12:00:00+00:00,2025-09-19T13:00:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025
9899,Practice,Practice 3,2025-09-20T08:30:00+00:00,2025-09-20T09:30:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025
9900,Qualifying,Qualifying,2025-09-20T12:00:00+00:00,2025-09-20T13:00:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025
9904,Race,Race,2025-09-21T11:00:00+00:00,2025-09-21T13:00:00+00:00,1269,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2025,False,2025
9889,Practice,Practice 1,2025-10-03T09:30:00+00:00,2025-10-03T10:30:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025
9890,Practice,Practice 2,2025-10-03T13:00:00+00:00,2025-10-03T14:00:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025
9891,Practice,Practice 3,2025-10-04T09:30:00+00:00,2025-10-04T10:30:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025
9892,Qualifying,Qualifying,2025-10-04T13:00:00+00:00,2025-10-04T14:00:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025
9896,Race,Race,2025-10-05T12:00:00+00:00,2025-10-05T14:00:00+00:00,1270,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2025,False,2025
9878,Practice,Practice 1,2025-10-17T17:30:00+00:00,2025-10-17T18:30:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025
9879,Qualifying,Sprint Qualifying,2025-10-17T21:30:00+00:00,2025-10-17T22:14:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025
9883,Race,Sprint,2025-10-18T17:00:00+00:00,2025-10-18T17:30:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025
9884,Qualifying,Qualifying,2025-10-18T21:00:00+00:00,2025-10-18T22:00:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025
9888,Race,Race,2025-10-19T19:00:00+00:00,2025-10-19T21:00:00+00:00,1271,9,Austin,19,USA,United States,Austin,-05:00:00,2025,False,2025
9870,Practice,Practice 1,2025-10-24T18:30:00+00:00,2025-10-24T19:30:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025
9871,Practice,Practice 2,2025-10-24T22:00:00+00:00,2025-10-24T23:00:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025
9872,Practice,Practice 3,2025-10-25T17:30:00+00:00,2025-10-25T18:30:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025
9873,Qualifying,Qualifying,2025-10-25T21:00:00+00:00,2025-10-25T22:00:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025
9877,Race,Race,2025-10-26T20:00:00+00:00,2025-10-26T22:00:00+00:00,1272,65,Mexico City,8,MEX,Mexico,Mexico City,-06:00:00,2025,False,2025
9859,Practice,Practice 1,2025-11-07T14:30:00+00:00,2025-11-07T15:30:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025
9860,Qualifying,Sprint Qualifying,2025-11-07T18:30:00+00:00,2025-11-07T19:14:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025
9864,Race,Sprint,2025-11-08T14:00:00+00:00,2025-11-08T15:00:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025
9865,Qualifying,Qualifying,2025-11-08T18:00:00+00:00,2025-11-08T19:00:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025
9869,Race,Race,2025-11-09T17:00:00+00:00,2025-11-09T19:00:00+00:00,1273,14,Interlagos,10,BRA,Brazil,São Paulo,-03:00:00,2025,False,2025
9851,Practice,Practice 1,2025-11-21T00:30:00+00:00,2025-11-21T01:30:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025
9852,Practice,Practice 2,2025-11-21T04:00:00+00:00,2025-11-21T05:00:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025
9853,Practice,Practice 3,2025-11-22T00:30:00+00:00,2025-11-22T01:30:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025
9854,Qualifying,Qualifying,2025-11-22T04:00:00+00:00,2025-11-22T05:00:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025
9858,Race,Race,2025-11-23T04:00:00+00:00,2025-11-23T06:00:00+00:00,1274,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2025,False,2025
9840,Practice,Practice 1,2025-11-28T13:30:00+00:00,2025-11-28T14:30:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025
9841,Qualifying,Sprint Qualifying,2025-11-28T17:30:00+00:00,2025-11-28T18:14:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025
9845,Race,Sprint,2025-11-29T14:00:00+00:00,2025-11-29T15:00:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025
9846,Qualifying,Qualifying,2025-11-29T18:00:00+00:00,2025-11-29T19:00:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025
9850,Race,Race,2025-11-30T16:00:00+00:00,2025-11-30T18:00:00+00:00,1275,150,Lusail,149,QAT,Qatar,Lusail,03:00:00,2025,False,2025
9832,Practice,Practice 1,2025-12-05T09:30:00+00:00,2025-12-05T10:30:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025
9833,Practice,Practice 2,2025-12-05T13:00:00+00:00,2025-12-05T14:00:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025
9834,Practice,Practice 3,2025-12-06T10:30:00+00:00,2025-12-06T11:30:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025
9835,Qualifying,Qualifying,2025-12-06T14:00:00+00:00,2025-12-06T15:00:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025
9839,Race,Race,2025-12-07T13:00:00+00:00,2025-12-07T15:00:00+00:00,1276,70,Yas Marina Circuit,21,UAE,United Arab Emirates,Yas Island,04:00:00,2025,False,2025
